部品コード,品名,工順,工程No,工程名,外注先NO,外注先名
AP-0140-1-2HA5Y,AP-140-1-2 ﾊﾝﾄﾞﾙ 5Y,1,18,コーティング,52002,小林
AP-0140-1-2HABG,AP-140-1-2 ﾊﾝﾄﾞﾙ 7.5BG,1,18,コーティング,52002,小林
AP-0140-1-2HAN7,AP-140-1-2 ﾊﾝﾄﾞﾙ N7,1,18,コーティング,52002,小林
AP-0140-1-PK-G,AP-140-1 ﾊﾟｯｷﾝ,1,3,購入品,4009,ｱﾐﾉ化学
AP-0140-2-1ALFU,AP-140-2-1AL ﾌﾀ,1,18,コーティング,52002,小林
AP-0140-2-1ALFU,AP-140-2-1AL ﾌﾀ,2,16,アルマイト,54014,上毛
AP-0140-2-1ALFU,AP-140-2-1AL ﾌﾀ,3,8,仕上加工,56058,Kテクノ
AP-0140-2-1ALFU,AP-140-2-1AL ﾌﾀ,4,1,鋳造,99999,秋葉
AP-0140-2-1ALHA,AP-140-2-1AL ﾊﾝﾄﾞﾙ,1,18,コーティング,52002,小林
AP-0140-2-1ALHA,AP-140-2-1AL ﾊﾝﾄﾞﾙ,2,16,アルマイト,54014,上毛
AP-0140-2-1ALHA,AP-140-2-1AL ﾊﾝﾄﾞﾙ,3,9,機械加工,56058,Kテクノ
AP-0140-2-1ALHA,AP-140-2-1AL ﾊﾝﾄﾞﾙ,4,1,鋳造,99999,秋葉
AP-0140-2-1ALNT,AP-140-2-1AL ﾅｯﾄ,1,17,メッキ,54006,高崎防錆
AP-0140-2-1ALNT,AP-140-2-1AL ﾅｯﾄ,2,16,アルマイト,54014,上毛
AP-0140-2-1ALNT,AP-140-2-1AL ﾅｯﾄ,3,9,機械加工,56007,ｺｽﾓｳｲﾝﾄﾞ
AP-0140-2-1ALNT,AP-140-2-1AL ﾅｯﾄ,4,1,鋳造,99999,秋葉
AP-0140-2-1HA5Y,AP-140-2-1 ﾊﾝﾄﾞﾙ 5Y,1,18,コーティング,52002,小林
AP-0140-2-1HABG,AP-140-2-1 ﾊﾝﾄﾞﾙ 7.5BG,1,18,コーティング,52002,小林
AP-0140-2-1HAN7,AP-140-2-1 ﾊﾝﾄﾞﾙ N7,1,18,コーティング,52002,小林
AP-0140-2-2ALHA,AP-140-2-2AL ﾊﾝﾄﾞﾙ ｲﾚｺ,1,18,コーティング,52001,武藤ﾌﾟﾗｽ
AP-0140-2-2ALHA,AP-140-2-2AL ﾊﾝﾄﾞﾙ ｲﾚｺ,2,16,アルマイト,54005,城北
AP-0140-2-2ALHA,AP-140-2-2AL ﾊﾝﾄﾞﾙ ｲﾚｺ,3,8,仕上加工,56019,明和
AP-0140-2-2ALHA,AP-140-2-2AL ﾊﾝﾄﾞﾙ ｲﾚｺ,4,1,鋳造,99999,秋葉
AP-0140-2-2HA5Y,AP-140-2-2 ﾊﾝﾄﾞﾙ 5Y,1,18,コーティング,52002,小林
AP-0140-2-2HABG,AP-140-2-2 ﾊﾝﾄﾞﾙ 7.5BG,1,18,コーティング,52002,小林
AP-0140-2-2HAN7,AP-140-2-2 ﾊﾝﾄﾞﾙ N7,1,18,コーティング,52002,小林
AP-0140-2-PK-G,AP-140-2 ﾊﾟｯｷﾝ,1,3,購入品,4009,ｱﾐﾉ化学
AP-0151-J-BN,AP-151-J 添付部品ﾅｼ,1,20,組立,57037,ｵｵﾂｶ
AP-0151-J-BP-P,AP-151-J ｳﾗｲﾀ(SUS),1,3,購入品,4034,日栄
AP-0151-J-HJP-P,AP-151-J ﾊﾝﾄﾞﾙｼﾞｮｲﾝﾄPL SUS,1,3,購入品,4034,日栄
AP-0151-J-HOBL,AP-151-J ﾎﾝﾀｲ ｸﾛ(PPS),1,3,購入品,52002,小林
AP-0151-J-LA,AP-151-J ﾗｯﾁ(POM),1,3,購入品,52002,小林
AP-0151-J-LVBL,AP-151-J ﾚﾊﾞｰ ｸﾛ(PPS),1,3,購入品,52002,小林
AP-0151-J-RAL-P,AP-151-J ﾘﾝｸｲﾀASSY L,1,3,購入品,4034,日栄
AP-0151-J-RAR-P,AP-151-J ﾘﾝｸｲﾀASSY R,1,3,購入品,4034,日栄
AP-0151-J-RCL-P,AP-151-J ﾘﾝｸｲﾀC L(SUS),1,3,購入品,4034,日栄
AP-0151-J-RCR-P,AP-151-J ﾘﾝｸｲﾀC R(SUS),1,3,購入品,4034,日栄
AP-0151-J-RKA-P,AP-151-J ﾘﾝｸｲﾀA(SUS),1,3,購入品,4034,日栄
AP-0151-J-RKB-P,AP-151-J ﾘﾝｸｲﾀB(SUS),1,3,購入品,4034,日栄
AP-0151-J-SL,AP-151-J ｽﾗｲﾀﾞｰ,1,1,鋳造,51209,三協
AP-0151-J-TPL-P,AP-151-J ﾄﾘﾂｹｲﾀ L(SUS),1,3,購入品,4034,日栄
AP-0151-J-TP-P,AP-151-J ﾄﾘﾂｹｲﾀ (SUS),1,3,購入品,4034,日栄
AP-0151-J-TPR-P,AP-151-J ﾄﾘﾂｹｲﾀ R(SUS),1,3,購入品,4034,日栄
AP-0151R-1-1HA,AP-151R-1-1 ﾊﾝﾄﾞﾙ,1,3,購入品,52002,小林
AP-0151R-1-1SP,AP-151R-1-1 ｾｯﾃｨﾝｸﾞﾂｷ,1,20,組立,57037,ｵｵﾂｶ
AP-0151R-1-2HA,AP-151R-1-2 ﾊﾝﾄﾞﾙ,1,3,購入品,52002,小林
AP-0151R-1HO,AP-151R-1 ﾎﾝﾀｲ,1,3,購入品,52002,小林
AP-0151R-1HO5Y,AP-151R-1 ﾎﾝﾀｲ 5Y,1,3,購入品,52002,小林
AP-0151R-1HOBL,AP-151R-1 ﾎﾝﾀｲ ｸﾛ,1,3,購入品,52002,小林
AP-0151R-1HON7,AP-151R-1 ﾎﾝﾀｲ N7,1,3,購入品,52002,小林
AP-0151R-2-1HA,AP-151R-2-1 ﾊﾝﾄﾞﾙ,1,3,購入品,52002,小林
AP-0151R-2-1SP,AP-151R-2-1 ｾｯﾃｨﾝｸﾞﾂｷ,1,20,組立,57037,ｵｵﾂｶ
AP-0151R-2-2HA,AP-151R-2-2 ﾊﾝﾄﾞﾙ,1,3,購入品,52002,小林
AP-0151R-2HO,AP-151R-2 ﾎﾝﾀｲ,1,3,購入品,52002,小林
AP-0151R-2HO5Y,AP-151R-2 ﾎﾝﾀｲ 5Y,1,3,購入品,52002,小林
AP-0151R-2HOBL,AP-151R-2 ﾎﾝﾀｲ ｸﾛ,1,3,購入品,52002,小林
AP-0151R-2HON7,AP-151R-2 ﾎﾝﾀｲ N7,1,3,購入品,52002,小林
AP-0151R-2K-HA,AP-151R-2K ﾊﾝﾄﾞﾙ(AAS),1,3,購入品,52002,小林
AP-0151R-2K-HO,AP-151R-2K ﾎﾝﾀｲ(AAS),1,3,購入品,52002,小林
AP-0151R-B-HACM,AP-151R-B ﾊﾝﾄﾞﾙｶﾑ ﾌｸﾚ,1,17,メッキ,54006,高崎防錆
AP-0151R-B-HACM,AP-151R-B ﾊﾝﾄﾞﾙｶﾑ ﾌｸﾚ,2,1,鋳造,51209,三協
AP-0151R-K-FM-P,AP-151R-K ﾌﾚｰﾑ(SPCC),1,3,購入品,4038,小島精工
AP-0151R-K-HACM,AP-151R-K ﾊﾝﾄﾞﾙｶﾑ ﾄﾝｶﾞﾘ,1,1,鋳造,51209,三協
AP-0151R-K-HCMM,AP-151R-K ﾊﾝﾄﾞﾙｶﾑ ﾏﾙ,1,1,鋳造,51209,三協
AP-0151R-K-LA-P,AP-151R-K ﾗｯﾁ(SPHC),1,3,購入品,4038,小島精工
AP-0151R-K-LC-P,AP-151R-K ﾗﾁｪｯﾄ(SPHC),1,3,購入品,4038,小島精工
AP-0151R-K-OA-P,AP-151R-K ｵｻｴｲﾀA(SPCC),1,3,購入品,4038,小島精工
AP-0151R-K-OB-P,AP-151R-K ｵｻｴｲﾀB(SPCC),1,3,購入品,4038,小島精工
AP-0151R-K-RL-P,AP-151R-K ﾗﾌｷｰﾗﾁｪｯﾄ(SPHC),1,3,購入品,4038,小島精工
AP-0151R-K-SK-P,AP-151R-K ｽﾄﾗｲｶ(SPCC),1,3,購入品,4038,小島精工
AP-0151R-K-ST,AP-151R-K ｽﾄｯﾊﾟｰ,1,17,メッキ,0,#N/A
AP-0151R-K-ST,AP-151R-K ｽﾄｯﾊﾟｰ,2,1,鋳造,51209,三協
AP-0151R-K-SUK,AP-151R-K ｽﾄｯﾊﾟｰｳｹｶﾅｸﾞ,1,17,メッキ,0,#N/A
AP-0151R-K-SUK,AP-151R-K ｽﾄｯﾊﾟｰｳｹｶﾅｸﾞ,2,1,鋳造,51209,三協
AP-0170,AP-170,1,23,検査,99999,秋葉
AP-0170-SH,AP-170 ｼｬﾌﾄ,1,1,鋳造,51209,三協
AP-0170-UZ,AP-170 ｳｹｻﾞ,1,1,鋳造,51209,三協
AP-0867-BD-P,AP-867 ﾎﾞﾃﾞｨ(PC),1,3,購入品,52002,小林
AP-0867-BP-M,AP-867 ﾊﾞﾝﾎﾞﾝ SJ5008 ｸﾛ,1,3,購入品,4004,ﾑﾗﾁｮｳ
AP-0867-FBK-P,AP-867 ﾌﾛﾝﾄﾌﾞﾗｹｯﾄ(SUS),1,3,購入品,4034,日栄
AP-0867-LV-P,AP-867 ﾚﾊﾞｰ(PC),1,3,購入品,52002,小林
AP-0867-PK-EP,AP-867 ﾊﾟｯｷﾝ EPDM ｸﾛ,1,3,購入品,4004,ﾑﾗﾁｮｳ
AP-0867-PK-P,AP-867 ﾊﾟｯｷﾝ 使用禁止,1,3,購入品,4004,ﾑﾗﾁｮｳ
AP-0867-RBK-P,AP-867 ﾘﾔﾌﾞﾗｹｯﾄ(SUS),1,3,購入品,4034,日栄
AP-151R-1-1HA5Y,AP-151R-1-1 ﾊﾝﾄﾞﾙ 5Y,1,3,購入品,52002,小林
AP-151R-1-1HABL,AP-151R-1-1 ﾊﾝﾄﾞﾙ ｸﾛ,1,3,購入品,52002,小林
AP-151R-1-1HAN7,AP-151R-1-1 ﾊﾝﾄﾞﾙ N7,1,3,購入品,52002,小林
AP-151R-1-2HA5Y,AP-151R-1-2 ﾊﾝﾄﾞﾙ 5Y,1,3,購入品,52002,小林
AP-151R-1-2HABL,AP-151R-1-2 ﾊﾝﾄﾞﾙ ｸﾛ,1,3,購入品,52002,小林
AP-151R-1-2HAN7,AP-151R-1-2 ﾊﾝﾄﾞﾙ N7,1,3,購入品,52002,小林
AP-151R-2-1HA5Y,AP-151R-2-1 ﾊﾝﾄﾞﾙ 5Y,1,3,購入品,52002,小林
AP-151R-2-1HABL,AP-151R-2-1 ﾊﾝﾄﾞﾙ ｸﾛ,1,3,購入品,52002,小林
AP-151R-2-1HAN7,AP-151R-2-1 ﾊﾝﾄﾞﾙ N7,1,3,購入品,52002,小林
AP-151R-2-2HA5Y,AP-151R-2-2 ﾊﾝﾄﾞﾙ 5Y,1,3,購入品,52002,小林
AP-151R-2-2HABL,AP-151R-2-2 ﾊﾝﾄﾞﾙ ｸﾛ,1,3,購入品,52002,小林
AP-151R-2-2HAN7,AP-151R-2-2 ﾊﾝﾄﾞﾙ N7,1,3,購入品,52002,小林
AP-151R-A-1-1N7,AP-151R-A-1-1 N7,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-1-2N7,AP-151R-A-1-2 N7,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-2-25M,AP-151R-A-2-2 5Y M5ｻﾗ,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-225M9,AP-151R-A-2-2 5YM5ｻﾗ2ﾎｳ0.9,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-2-2M,AP-151R-A-2-2 ｸﾛ M5ｻﾗ,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-2-2NM,AP-151R-A-2-2N7 M5ｻﾗ2ﾎｳｼﾞﾒ,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-22NM7,AP-151R-A-2-2 N7M5ｻﾗ2ﾎｳ0.7,1,20,組立,57037,ｵｵﾂｶ
AP-151R-A-22NM9,AP-151R-A-2-2 N7M5ｻﾗ2ﾎｳ0.9,1,20,組立,57037,ｵｵﾂｶ
AP-151R-B-1-1HC,"AP-151R-B-1-1,2-1 ﾊﾝﾄﾞﾙｶﾑ",1,17,メッキ,54006,高崎防錆
AP-151R-B-1-1HC,"AP-151R-B-1-1,2-1 ﾊﾝﾄﾞﾙｶﾑ",2,1,鋳造,51209,三協
ATG-1HSKPROTO,2ｶﾞﾝ HEAT SINK     XX,1,1,鋳造,99999,秋葉
B-0095,B-95,1,20,組立,0,#N/A
B-0095-GR-P,B-95 ｷﾞﾔｰ(POM),1,3,購入品,52002,小林
B-0095-HIA,B-95 ｽﾄｯﾌﾟﾋﾝｼﾞA,1,15,塗装,55001,馬場
B-0095-HIA,B-95 ｽﾄｯﾌﾟﾋﾝｼﾞA,2,1,鋳造,51229,ﾃｨｱﾝﾄﾞﾃｨ
B-0095-HIB,B-95 ｽﾄｯﾌﾟﾋﾝｼﾞB,1,15,塗装,55001,馬場
B-0095-HIB,B-95 ｽﾄｯﾌﾟﾋﾝｼﾞB,2,1,鋳造,51229,ﾃｨｱﾝﾄﾞﾃｨ
B-0178-03CPG-P,B-178-3 ｷｬｯﾌﾟ ｸﾞﾚｰ PBT,1,3,購入品,52002,小林
B-0178-03CP-P,B-178-3 ｷｬｯﾌﾟ ｼﾛ PBT,1,3,購入品,52002,小林
B-0178-03HI,B-178-3 ﾋﾝｼﾞ,1,17,メッキ,54002,山下
B-0178-03HI,B-178-3 ﾋﾝｼﾞ,2,8,仕上加工,56005,ﾏﾂｲ
B-0178-03HI,B-178-3 ﾋﾝｼﾞ,3,1,鋳造,99999,秋葉
B-0178-03HI3C,B-178-3 ﾋﾝｼﾞ 三価ｸﾛﾒｰﾄ,1,17,メッキ,54006,高崎防錆
B0241-060-00,BUSH SERRATION     XX,1,1,鋳造,99999,秋葉
B0241-066-00100,"LM16081A,BUSH,SERRATION",1,25,出荷,0,#N/A
B0566-802-00100,COVER,1,1,鋳造,51240,明光
B0575-560-00200,FP23-010 HEAD CYLINDER,1,8,仕上加工,56027,美才治
B0575-560-00200,FP23-010 HEAD CYLINDER,2,1,鋳造,99999,秋葉
B0609-574-00200,SLEEVE,1,1,鋳造,51240,明光
B0827-389-00,"NUT,,LOCK          XX",1,23,検査,99999,秋葉
B0827-389-00,"NUT,,LOCK          XX",2,16,アルマイト,54014,上毛
B0827-389-00,"NUT,,LOCK          XX",3,9,機械加工,56999,秋葉
B0827-389-00,"NUT,,LOCK          XX",4,1,鋳造,51240,明光
B0827-389-00020,"NUT,LOCK",1,25,出荷,0,#N/A
B0827-389-00021,"NUT,LOCK",1,25,出荷,0,#N/A
B0827-389-00022,"NUT,LOCK",1,25,出荷,0,#N/A
B0827-389-00023,"NUT,LOCK",1,25,出荷,0,#N/A
B0827-389-00100,"NUT,LOCK",1,25,出荷,0,#N/A
B-0858-02HIA,B-858-2 ﾋﾝｼﾞA,1,15,塗装,55001,馬場
B-0858-02HIA,B-858-2 ﾋﾝｼﾞA,2,16,アルマイト,54014,上毛
B-0858-02HIA,B-858-2 ﾋﾝｼﾞA,3,8,仕上加工,56027,美才治
B-0858-02HIA,B-858-2 ﾋﾝｼﾞA,4,1,鋳造,99999,秋葉
B-0858-2RHIC,B-858-2R ﾋﾝｼﾞC,1,15,塗装,55001,馬場
B-0858-2RHIC,B-858-2R ﾋﾝｼﾞC,2,16,アルマイト,54014,上毛
B-0858-2RHIC,B-858-2R ﾋﾝｼﾞC,3,8,仕上加工,56027,美才治
B-0858-2RHIC,B-858-2R ﾋﾝｼﾞC,4,1,鋳造,99999,秋葉
B-0858-2SHIB,B-858-2S ﾋﾝｼﾞB,1,15,塗装,55001,馬場
B-0858-2SHIB,B-858-2S ﾋﾝｼﾞB,2,16,アルマイト,54014,上毛
B-0858-2SHIB,B-858-2S ﾋﾝｼﾞB,3,8,仕上加工,56027,美才治
B-0858-2SHIB,B-858-2S ﾋﾝｼﾞB,4,1,鋳造,99999,秋葉
B-0892-HI,B-892 ﾋﾝｼﾞ,1,1,鋳造,51209,三協
B-0892-JT,B-892 ｼﾞｮｲﾝﾄ,1,1,鋳造,51209,三協
B-0892-NT,B-892 ﾅｯﾄ,1,1,鋳造,51209,三協
B-0892-PK-G,B-892 ﾊﾟｯｷﾝ LOT10000,1,3,購入品,4033,伸光ｺﾞﾑ
B-0895-AMJL-P,B-895 ｱｰﾑｼﾞｸASSY L       X,1,3,購入品,4038,小島精工
B-0895-AMJ-P,B-895 ｱｰﾑｼﾞｸ,1,3,購入品,4038,小島精工
B-0895-AMJR-P,B-895 ｱｰﾑｼﾞｸASSY R       X,1,3,購入品,4038,小島精工
B-0895-AMK-P,B-895 ｱｰﾑｺﾃｲﾊﾞﾝ(SPCC),1,3,購入品,4038,小島精工
B-0895-HABS-P,B-895 ﾊﾝﾄﾞﾙﾍﾞｰｽ(SPCC),1,3,購入品,4038,小島精工
B-0895-HAHP-P,B-895 ﾊﾝﾄﾞﾙｵｻｴ(SPCC),1,3,購入品,4038,小島精工
B-0895-HAL-P,B-895 ﾊﾝﾄﾞﾙASSY L        X,1,3,購入品,4038,小島精工
B-0895-HA-P,B-895 ﾊﾝﾄﾞﾙ,1,3,購入品,4038,小島精工
B-0895-HAR-P,B-895 ﾊﾝﾄﾞﾙASSY R        X,1,3,購入品,4038,小島精工
B-0895-JT-P,B-895 ｼﾞｮｲﾝﾄ,1,3,購入品,4038,小島精工
B-0895-PC-P,B-895 ﾁｭｳｸｳﾏﾙﾊﾟｲﾌﾟ,1,3,購入品,4038,小島精工
B-0895-STAM-P,B-895 ｽﾄｯﾊﾟｰｱｰﾑ,1,3,購入品,4038,小島精工
B-0895-UK-P,B-895 ｳｹｲﾀ(SPCC),1,3,購入品,4038,小島精工
B1-1003,ｾﾝﾀｰﾍﾞｰｽ,1,15,塗装,55001,馬場
B1-1003,ｾﾝﾀｰﾍﾞｰｽ,2,8,仕上加工,56008,大沢
B1-1003,ｾﾝﾀｰﾍﾞｰｽ,3,1,鋳造,99999,秋葉
B-1124-11-3,B-1124-11-3 ｶｯﾌﾟﾘﾝｸﾞ,1,3,購入品,4007,T製造
B1172-504-00,"FRAME,,GEAR        XX",1,1,鋳造,51240,明光
B13470-0020,A22 BKT LOWER,1,23,検査,99999,秋葉
B1501-925-00,"FRAME,,GEAR         XX",1,1,鋳造,51240,明光
B1719-600-00,"WM14-036 FRAME,,GEAR  XX",1,8,仕上加工,56027,美才治
B1719-600-00,"WM14-036 FRAME,,GEAR  XX",2,1,鋳造,99999,秋葉
B1719-600-00000,"WM14036,FRAME,,GEAR(BLANK)",1,1,鋳造,51240,明光
B18152-0040,479 BKT LH ｱﾅﾅｼ,1,23,検査,99999,秋葉
B18152-0040,479 BKT LH ｱﾅﾅｼ,2,17,メッキ,54007,三和
B18152-0040,479 BKT LH ｱﾅﾅｼ,3,8,仕上加工,56005,ﾏﾂｲ
B18152-0040,479 BKT LH ｱﾅﾅｼ,4,1,鋳造,99999,秋葉
B18190-0030,D02 FU/M S,1,23,検査,99999,秋葉
B18190-0030,D02 FU/M S,2,15,塗装,55001,馬場
B18190-0030,D02 FU/M S,3,16,アルマイト,54014,上毛
B18190-0030,D02 FU/M S,4,12,研磨,56005,ﾏﾂｲ
B18190-0030,D02 FU/M S,5,8,仕上加工,56005,ﾏﾂｲ
B18190-0030,D02 FU/M S,6,1,鋳造,99999,秋葉
B18631-0061,T55 BKT RH,1,23,検査,99999,秋葉
B18631-0061,T55 BKT RH,2,8,仕上加工,56005,ﾏﾂｲ
B18631-0061,T55 BKT RH,3,1,鋳造,99999,秋葉
B18631-K062,T55 BKT RH,1,25,出荷,0,#N/A
B18631-L062,T55 BKT R ﾕｼｭﾂ,1,24,梱包,56026,町田
B18662-0061,T55 BKT LH,1,23,検査,99999,秋葉
B18662-0061,T55 BKT LH,2,8,仕上加工,56005,ﾏﾂｲ
B18662-0061,T55 BKT LH,3,1,鋳造,99999,秋葉
B18662-K062,T55 BKT LH,1,25,出荷,0,#N/A
B18662-L062,T55 BKT L ﾕｼｭﾂ,1,24,梱包,56026,町田
B19011-0030,T65 B RH,1,23,検査,99999,秋葉
B19011-0030,T65 B RH,2,15,塗装,55001,馬場
B19011-0030,T65 B RH,3,12,研磨,56005,ﾏﾂｲ
B19011-0030,T65 B RH,4,8,仕上加工,56001,ﾏﾙｺｳ
B19011-0030,T65 B RH,5,1,鋳造,99999,秋葉
B19022-0010,T65 B LH,1,23,検査,99999,秋葉
B19022-0010,T65 B LH,2,12,研磨,56038,森平博司
B19022-0010,T65 B LH,3,8,仕上加工,56001,ﾏﾙｺｳ
B19022-0010,T65 B LH,4,1,鋳造,99999,秋葉
B1902-976-00004,"FRAME,,GEAR",1,1,鋳造,51240,明光
B1F322-0011,C56 FU/M ﾍﾞｰｽ,1,23,検査,99999,秋葉
B1F322-0011,C56 FU/M ﾍﾞｰｽ,2,8,仕上加工,56005,ﾏﾂｲ
B1F322-0011,C56 FU/M ﾍﾞｰｽ,3,1,鋳造,99999,秋葉
B1F332-0011,C56 B ｸﾛﾊﾝﾂﾔ,1,23,検査,99999,秋葉
B1F332-0011,C56 B ｸﾛﾊﾝﾂﾔ,2,15,塗装,55001,馬場
B2250-096-00,"FRAME,,GEAR        XX",1,1,鋳造,51240,明光
B23010-0010,G58 S A11S,1,15,塗装,55001,馬場
B23130-0010,N35 S PK22,1,15,塗装,55001,馬場
B23140-0010,N35 S PB12,1,15,塗装,55001,馬場
B24040-0010,963 S 435B,1,15,塗装,55001,馬場
B24080-0010,387 S N402-P201,1,15,塗装,55001,馬場
B24120-0010,G54 S 110B,1,15,塗装,55001,馬場
B24160-0010,387 S N402-P201,1,15,塗装,55001,馬場
B26020-0010,387 S ﾐﾃﾞｨｱﾑｸﾞﾚｰ,1,15,塗装,55001,馬場
B26180-0010,963 S 127B,1,15,塗装,55001,馬場
B26190-0010,963 S 611B,1,15,塗装,55001,馬場
B26310-0010,185 S ｸﾛﾊﾝﾂﾔ,1,15,塗装,55001,馬場
B26380-0010,963 S 007B,1,15,塗装,55001,馬場
B26400-0010,963 S 113B,1,15,塗装,55001,馬場
B26410-0010,963 S 128B,1,15,塗装,55001,馬場
B27250-0021,D02 S,1,15,塗装,55001,馬場
B27250-0021,D02 S,2,8,仕上加工,56001,ﾏﾙｺｳ
B27250-0021,D02 S,3,1,鋳造,51213,岡芹
B27290-0010,963 S 130B,1,15,塗装,55001,馬場
B2779-601-00,"COVER,,GEAR",1,1,鋳造,51240,明光
B29090-0010,963 S A11S,1,15,塗装,55001,馬場
B2A010-0010,L15 S P201,1,23,検査,99999,秋葉
B2A010-0010,L15 S P201,2,15,塗装,55001,馬場
B2A090-0010,B46 S PC65,1,15,塗装,55001,馬場
B2A100-0021,483 ﾍﾞｰｽ           XX,1,1,鋳造,51209,三協
B2B030-0010,L39 S ｸﾞﾚｰ,1,15,塗装,55001,馬場
B2B360-0010,N35 S PK30,1,15,塗装,55001,馬場
B2C070-0010,L15 S,1,15,塗装,55001,馬場
B2D050-0010,387 S L44T,1,15,塗装,55001,馬場
B2D060-0010,387 S ｵｳｼｭｳ L44T,1,15,塗装,55001,馬場
B2F050-0010,387 S G106,1,15,塗装,55001,馬場
B2H010-0010,L15 S U722-G112,1,15,塗装,55001,馬場
B3006-735-00000,"COVER,,GEAR",1,1,鋳造,51240,明光
B33032-0010,G29 ｶﾊﾞｰ A A11S,1,23,検査,99999,秋葉
B33032-0010,G29 ｶﾊﾞｰ A A11S,2,15,塗装,55001,馬場
B33032-0010,G29 ｶﾊﾞｰ A A11S,3,12,研磨,56005,ﾏﾂｲ
B33032-0020,G29 ｶﾊﾞｰ B A11S,1,23,検査,99999,秋葉
B33032-0020,G29 ｶﾊﾞｰ B A11S,2,15,塗装,55001,馬場
B33032-0020,G29 ｶﾊﾞｰ B A11S,3,12,研磨,56005,ﾏﾂｲ
B34312-0030,"730 ﾍﾞｰｽ ZP341,078",1,23,検査,99999,秋葉
B34312-0030,"730 ﾍﾞｰｽ ZP341,078",2,15,塗装,55001,馬場
B34312-0040,"730 ﾍﾞｰｽｶﾊﾞｰ ZP341,078",1,23,検査,99999,秋葉
B34312-0040,"730 ﾍﾞｰｽｶﾊﾞｰ ZP341,078",2,15,塗装,55001,馬場
B34412-0010,459 ｶﾊﾞｰ A,1,23,検査,99999,秋葉
B34412-0010,459 ｶﾊﾞｰ A,2,15,塗装,55001,馬場
B34412-0010,459 ｶﾊﾞｰ A,3,12,研磨,56005,ﾏﾂｲ
B34412-0010,459 ｶﾊﾞｰ A,4,8,仕上加工,56003,田島
B34412-7010,459 ｽﾍﾟｰｻｰ,1,23,検査,99999,秋葉
B34412-7010,459 ｽﾍﾟｰｻｰ,2,15,塗装,55001,馬場
B34412-7010,459 ｽﾍﾟｰｻｰ,3,8,仕上加工,56003,田島
B34412-7010,459 ｽﾍﾟｰｻｰ,4,1,鋳造,99999,秋葉
B34582-0030,M15 BKT,1,23,検査,99999,秋葉
B34582-0030,M15 BKT,2,8,仕上加工,56005,ﾏﾂｲ
B34582-0030,M15 BKT,3,1,鋳造,99999,秋葉
B3492-275-00200,"FRAME,,GEAR",1,23,検査,99999,秋葉
B3492-275-00200,"FRAME,,GEAR",2,9,機械加工,56999,秋葉
B36052-0010,M21 ｹｲﾘｮｳ BKT,1,23,検査,99999,秋葉
B36052-0010,M21 ｹｲﾘｮｳ BKT,2,15,塗装,55001,馬場
B36052-0010,M21 ｹｲﾘｮｳ BKT,3,12,研磨,56005,ﾏﾂｲ
B36052-0010,M21 ｹｲﾘｮｳ BKT,4,8,仕上加工,56005,ﾏﾂｲ
B36052-0010,M21 ｹｲﾘｮｳ BKT,5,1,鋳造,99999,秋葉
B36082-0010,M21 ｺｶﾞﾀ BKT,1,23,検査,99999,秋葉
B36082-0010,M21 ｺｶﾞﾀ BKT,2,15,塗装,55001,馬場
B36082-0010,M21 ｺｶﾞﾀ BKT,3,12,研磨,56005,ﾏﾂｲ
B36082-0010,M21 ｺｶﾞﾀ BKT,4,8,仕上加工,56005,ﾏﾂｲ
B36082-0010,M21 ｺｶﾞﾀ BKT,5,1,鋳造,99999,秋葉
B36112-0020,472 BKT,1,23,検査,99999,秋葉
B36112-0020,472 BKT,2,8,仕上加工,56007,ｺｽﾓｳｲﾝﾄﾞ
B36112-0020,472 BKT,3,1,鋳造,99999,秋葉
B38051-0040,479 BKT RH,1,23,検査,99999,秋葉
B38051-0040,479 BKT RH,2,14,電着,54007,三和
B38051-0040,479 BKT RH,3,8,仕上加工,56003,田島
B38051-0040,479 BKT RH,4,1,鋳造,99999,秋葉
B38052-0040,479 BKT LH ｱﾅｱﾘ,1,23,検査,99999,秋葉
B38052-0040,479 BKT LH ｱﾅｱﾘ,2,14,電着,54007,三和
B38052-0040,479 BKT LH ｱﾅｱﾘ,3,8,仕上加工,56003,田島
B38052-0050,479 O/M ﾕﾆｯﾄﾌﾞﾗｹｯﾄ,1,23,検査,99999,秋葉
B38052-0050,479 O/M ﾕﾆｯﾄﾌﾞﾗｹｯﾄ,2,17,メッキ,54007,三和
B38052-0050,479 O/M ﾕﾆｯﾄﾌﾞﾗｹｯﾄ,3,8,仕上加工,56005,ﾏﾂｲ
B38052-0050,479 O/M ﾕﾆｯﾄﾌﾞﾗｹｯﾄ,4,1,鋳造,99999,秋葉
B39012-0010,T65 ｻﾌﾞｽﾃｰ A,1,23,検査,99999,秋葉
B39012-0010,T65 ｻﾌﾞｽﾃｰ A,2,15,塗装,55001,馬場
B39012-0010,T65 ｻﾌﾞｽﾃｰ A,3,9,機械加工,56005,ﾏﾂｲ
B39012-0010,T65 ｻﾌﾞｽﾃｰ A,4,12,研磨,56052,梅山
