図番,品名,品名2,備考
B7B906-0050,Ｌ２４　Ｂ　ＲＨ　クロハンツヤ,FA-820YB ｷｬｯﾌﾟSP SUS,
B7B907-0050,Ｌ２４　Ｂ　ＬＨ　クロハンツヤ,FA-820YB ﾛｯｸｶﾞｲﾄﾞSP SUS,
B7D22C-1000,Ｂ４０　Ｂ　ＲＨ　ＢＢ３０,FA-822-C ﾌｯｸSP S1.6C,
B7D22D-1000,Ｂ４０　Ｂ　ＬＨ　ＢＢ３０,FA-822-C ﾛｯｸｶﾞｲﾄﾞSP ﾅｽA270,
B7E616-3010,Ａ９８　Ｓ／Ｈ　Ｒ－Ｒ　デンカク　ＡＭＰＡＳ,FA-834-C ﾃﾞｨﾃﾝﾄSP S0.4,
B7E617-3010,Ａ９８　Ｓ／Ｈ　Ｒ－Ｌ　デンカク　ＡＭＰＡＳ,FA-834-C ﾌｳｲﾝﾘﾝｸﾞ SUS,
B7E626-3010,Ａ９８　Ｓ／Ｈ　Ｌ－Ｒ　デンカク　ＡＭＰＡＳ,FA-834-C ｷｬｯﾌﾟSPﾅｽP A-26,
B7E627-3010,Ａ９８　Ｓ／Ｈ　Ｌ－Ｌ　デンカク　ＡＭＰＡＳ,FA-908 ﾊﾝﾄﾞﾙｽﾌﾟﾘﾝｸﾞS1.2WT,
B7G086-0030,０Ｃ１　Ｂ　Ｒ　（Ｃ７９）,FA-933 ﾎﾞﾀﾝSP S1.0TP,
B7G087-0030,０Ｃ１　Ｂ　Ｌ　（Ｃ７９）,FA-933 ｶｴｼﾊﾞﾈ 2ﾊﾟｲ,
B7H896-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＲＨ　ＢＱＡＡ,FA-935 ﾎﾞﾀﾝSP(SUS),
B7H897-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＬＨ　ＢＱＡＡ,FA-935 ﾗｯﾁSP(SUS),
B7H916-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＲＨ　ＢＫ２３,FA-935 ﾗﾁｪｯﾄSP(SUS),
B7H917-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＬＨ　ＢＫ２３,FB-614 ｽﾌﾟﾘﾝｸﾞS2.0使用禁止,
B7H936-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＲＨ　ＢＫ５１,FB-614 ｽﾌﾟﾘﾝｸﾞN S2.0,
B7H937-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＬＨ　ＢＫ５１,FB-931 ｽﾄｯﾊﾟｰSP 0.6C,
B7H946-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＲＨ　ＢＨＡＡ,FC-702 ｽﾌﾟﾘﾝｸﾞ S1.2C,
B7H947-1000,Ｃ０９　Ｄ／Ｍ　Ｂ　ＬＨ　ＢＨＡＡ,KC-24-3 ｽﾌﾟﾘﾝｸﾞ S0.55C,
B7J01L-0021,０Ｃ６　Ｄ／Ｍ　ユニットブラケット　Ｌ,SKH-100 ﾊﾟｯｷﾝ EPDM ｸﾞﾚｰ,
B7J01R-0021,０Ｃ６　Ｄ／Ｍ　ユニットブラケット　Ｒ,LE-151R-F-1 ｶﾞｲﾄﾞSP S0.7,
B82042050-000,メンイタ　Φ４０,LE-151R-F-1 ﾊﾝﾄﾞﾙSP S0.6,
B8342L-0040,５８９　Ｂ　Ｒ－Ｌ　ノーブルグリーン,SLE-151R-F-1 ｸﾘｯｸSP,
B8342R-0040,５８９　Ｂ　Ｒ－Ｒ　ノーブルグリーン,LE-151R-F-1 ﾚﾝｹﾂﾛｯﾄ SUS,
B83501-0082,５９７　Ｓ／Ｈ　Ｌ－Ｒ,LE-272 ﾃﾞｨﾃﾝﾄSP SUS,
B83502-0081,５９７　Ｓ／Ｈ　Ｌ－Ｌ,LE-272 ﾛｯｸSP SUS,
B8355L-0080,Ｂ　Ｎ９６　Ｓ／Ｈ　ＬＨ,LE-343 ｶｲｼﾞｮｶﾑSP S.6T,
B8355R-0080,Ｂ　Ｎ９６　Ｓ／Ｈ　ＲＨ,LE-343 ｸﾘｯｸSP S.6C L26,
B8401L-0040,５８９　Ｂ　Ｒ－Ｌ　６Ｒ,LE-343 ﾌﾟﾗﾝｼﾞｬｰSP S.3C,
B8401R-0040,５８９　Ｂ　Ｒ－Ｒ　６Ｒ,LE-343 ｻﾑﾀﾝｸﾘｯｸSP S0.4C,
B84086-0070,Ａ０６　Ｓ／Ｈ　Ｒ－Ｒ,LE-375 ｼﾞｮｲﾝﾄSP S.45C,
B84087-0070,Ａ０６　Ｓ／Ｈ　Ｒ－Ｌ,LE-375 ｸﾘｯｸSP S0.6C,
B84106-0072,Ａ１１０　Ａ０６　Ｓ／Ｈ　Ｒ－Ｒ,LE-375 ﾛｯｸSP S0.6T,
B84107-0072,Ａ１１０　Ａ０６　Ｓ／Ｈ　Ｒ－Ｌ,LE-375 ﾌﾟﾗﾝｼﾞｬｰSP S.4TP,
B8410L-0022,Ａ１９　Ｓ／Ｈ　ＬＨ,LE-375 ｽﾗｲﾀﾞｰSP S1.8TTT,
B8410R-0022,Ａ１９　Ｓ／Ｈ　ＲＨ,LE-375 ｽﾄｯﾊﾟｰSP,
B8414-328-00003,ＦＲＡＭＥ，，ＧＥＡＲ,LE-820 ﾌﾟﾗﾝｼﾞｬ-SP S0.6C,
B85091-0021,Ａ１１０　Ｅ１３　Ｓ／Ｈ　ＲＨ,LE-830 ﾌｯｸSP S1.5C,
B85092-0021,Ａ１１０　Ｅ１３　Ｓ／Ｈ　ＬＨ,LE-830 ﾌﾟﾗﾝｼﾞｬSP S0.6C,
B85801-0040,５８９　Ｍ１０　Ｂ　Ｒ－Ｒ　ノーブルグリーンＭＣ,LE-840 ﾌｯｸSP S1.8C,
B85802-0040,５８９　Ｍ１０　Ｂ　Ｒ－Ｌ　ノーブルグリーンＭＣ,ｼﾘｺﾝｸﾞﾘ-ｽ G30M,
B85991-0040,５８９　Ｍ１０　Ｂ　Ｒ－Ｒ　４Ｓ,ｼﾘｺﾝｼ-ﾗﾝﾄ 8060ﾌﾟﾛ ｸﾘｱ,
B85992-0040,５８９　Ｍ１０　Ｂ　Ｒ－Ｌ　４Ｓ,MA-140-3 ｽﾌﾟﾘﾝｸﾞ 0.5TP,
B860-1920-Z201A,Ｚ２０１Ａ　ヘッドア－ム,ｽﾅｯﾌﾟﾋﾟﾝ 6M SUS,
B860-1920-Z202A,Ｚ２０２Ａ　ヘッドア－ム,ｿﾞﾙﾍﾞｽﾄ 730 300ml,
B860-1920-Z203A,Ｚ２０３Ａ　ヘッドア－ム,ｽﾌﾟﾘﾝｸﾞﾋﾟﾝ 4*22 SUS,
B8602L-3012,６９３　Ｓ／Ｈ　Ｒ－Ｌ,ｽﾅｯﾌﾟﾋﾟﾝ(ﾏﾂﾊﾞﾋﾟﾝ)M6 SUS,
B8602R-3011,６９３　Ｓ／Ｈ　Ｒ－Ｒ,ｽﾍﾟｰｻｰ 3*4.5 ｸﾛﾒｰﾄ,
B86136-3012,Ａ１００　Ａ５６　Ｓ／Ｈ　ＲＨ,ｽﾍﾟｰｻｰ 5*13.7 ｸﾛﾒｰﾄ(885)間,
B86137-3012,Ａ１００　Ａ５６　Ｓ／Ｈ　ＬＨ,ｽﾍﾟｰｻｰ 5*14 ｻﾝｶｸﾛﾒｰﾄ    間,
B86156-3010,Ａ５６　Ｓ／Ｈ　Ｒ－Ｒ,ｽﾘﾜﾘﾂｷ ﾄﾒﾈｼﾞ 2.6*6 ｸﾛﾒｰﾄ,
B86157-3010,Ａ５６　Ｓ／Ｈ　Ｒ－Ｌ,ｽﾊﾟｲﾛｰﾙﾋﾟﾝ 4*20 SUS     間,
B86161-0021,６８９　Ｓ／Ｈ　Ｒ－Ｒ,Omuron ﾍﾞｰｼｯｸｽｲｯﾁ,
B86161-0022,６８９　Ｓ／Ｈ　Ｒ－Ｒ,ｿﾄﾊﾞﾜｯｼｬｰ 4M SUS        間,
B86161-0R22,６８９　Ｓ／Ｈ　Ｒ－Ｒ　ユシュツヨウ,ｿﾄﾊﾞﾜｯｼｬｰ 5M SUS        間,
B86161-L021,６８９　Ｓ／Ｈ　Ｒ－Ｒ　ユシュツ,ｿﾄﾊﾞﾜｯｼｬｰ 6M SUS        間,
B86161-L022,６８９　Ｓ／Ｈ　Ｒ－Ｒ　ユシュツヨウ,ｿﾄﾊﾞﾜｯｼｬｰ 8M SUS        間,
B86162-0021,６８９　Ｓ／Ｈ　Ｒ－Ｌ,ｽﾄﾚｯﾁﾌｨﾙﾑ 500*300,
B86162-0022,６８９　Ｓ／Ｈ　Ｒ－Ｌ,TR-26 CTRL ﾊﾌﾞSP S1.5T,
B86162-0R22,６８９　Ｓ／Ｈ　Ｒ－Ｌ　ユシュツヨウ,"TR-26 300,500ﾊﾌﾞSP S1.5T",
B86162-L021,６８９　Ｓ／Ｈ　Ｒ－Ｌ　ユシュツ,TR-26 700系 ﾊﾌﾞSP S1.4T,
B86162-L022,６８９　Ｓ／Ｈ　Ｒ－Ｌ　ユシュツヨウ,TR-29 ｽﾌﾟﾘﾝｸﾞ S1.8C,
B8664-202-00002,ＣＯＶＥＲ．，，ＥＮＤ,TR-29-TEC ｽﾌﾟﾘﾝｸﾞ S2.3C,
B87556-0022,Ｄ１３　Ｓ／Ｈ　ＲＨ,TR-34-ESJ ｻﾑﾀﾝ仕様SP,
B87557-0022,Ｄ１３　Ｓ／Ｈ　ＬＨ,TR-34 ｲﾀﾊﾞﾈ t=0.5,
B87756-0030,Ｂ１７　Ｂ　ＲＨ　ＢＢＰ９,TR-41-N700 ｽﾌﾟﾘﾝｸﾞL,
B87757-0030,Ｂ１７　Ｂ　ＬＨ　ＢＢＰ９,TR-41-N700 ｽﾌﾟﾘﾝｸﾞR,
B87956-0021,Ｄ０２　Ｓ／Ｈ　ＲＨ,TR-41-N700 ｳｹｻﾞSWSP 0.65,
B87956-0031,Ｄ０２　Ｂ　ＲＨ,Cｶﾞﾀﾄﾒﾜ 10M ｼﾞｸﾖｳ A.C.P 間,
B87956-0033,Ｄ０２　Ｂ　ＲＨ,Cｶﾞﾀﾄﾒﾜ 12M ｼﾞｸﾖｳ A.C.P 間,
B87956-0035,Ｄ３６　Ｂ　ＲＨ,Cｶﾞﾀﾄﾒﾜ 12M ｼﾞｸﾖｳ SUS   間,
B87957-0021,Ｄ０２　Ｓ／Ｈ　ＬＨ,Cｶﾞﾀﾄﾒﾜ 13M ｼﾞｸﾖｳ A.C.P 間,
B87957-0031,Ｄ０２　Ｂ　ＬＨ,Cｶﾞﾀﾄﾒﾜ 14M ｼﾞｸﾖｳ A.C.P 間,
B87957-0033,Ｄ０２　Ｂ　ＬＨ,Cｶﾞﾀﾄﾒﾜ 15M ｼﾞｸﾖｳ A.C.P 間,
B87957-0035,Ｄ３６　Ｂ　ＬＨ,Cｶﾞﾀﾄﾒﾜ 30M ｼﾞｸﾖｳ A.C.P,
B8816L-0051,Ａ９４　Ｓ／Ｈ　Ｌ－Ｌ　デンカク,Cｶﾞﾀﾄﾒﾜ 6M ｼﾞｸﾖｳ SUS,
B8816R-0051,Ａ９４　Ｓ／Ｈ　Ｌ－Ｒ　デンカク,Cｶﾞﾀﾄﾒﾜ 8M ｼﾞｸﾖｳ SUS    間,
B8817-530-00,ＦＲＡＭＥ，，ＧＥＡＲ,Cｶﾞﾀﾄﾒﾜ 9M ｼﾞｸﾖｳ A.C.P,
B8834-691-00000,ＦＲＡＭＥ，，ＧＥＡＲ,Cｶﾞﾀﾄﾒﾜ 9M ｼﾞｸﾖｳ SUS    間,
B88841-0071,Ｔ４３　Ｓ／Ｈ　Ｒ－Ｒ,ｽﾐｸﾛﾝｽﾌﾟﾚｰ              間,
B88842-0071,Ｔ４３　Ｓ／Ｈ　Ｒ－Ｌ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 10ﾊﾟｲ ｸﾛﾒｰﾄ,
B88871-0071,Ｔ４３　Ｓ／Ｈ　Ｌ－Ｒ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 10ﾊﾟｲ SUS,
B88872-0071,Ｔ４３　Ｓ／Ｈ　Ｌ－Ｌ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 10ﾊﾟｲ ﾕﾆｸﾛ,
B88946-3013,Ａ９８　Ｓ／Ｈ　Ｒ－Ｒ　シュカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 12ﾊﾟｲ ｸﾛﾒｰﾄ間,
B88947-3013,Ａ９８　Ｓ／Ｈ　Ｒ－Ｌ　シュカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 3ﾊﾟｲ ｸﾛﾒｰﾄ 間,
B88951-0050,Ａ９４　Ｓ／Ｈ　Ｌ－Ｒ　シュカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 3ﾊﾟｲ SUS   間,
B88952-0050,Ａ９４　Ｓ／Ｈ　Ｌ－Ｌ　シュカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 4ﾊﾟｲ ｸﾛﾒｰﾄ 間,
B88986-3013,Ａ９８　Ｓ／Ｈ　Ｌ－Ｒ　シュカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 4ﾊﾟｲ SUS   間,
B88987-3013,Ａ９８　Ｓ／Ｈ　Ｌ－Ｌ　シュカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 4ﾊﾟｲ ﾕﾆｸﾛ  間,
B88996-3013,Ａ９８　Ｓ／Ｈ　Ｒ－Ｒ　デンカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 5ﾊﾟｲ ｸﾛﾒｰﾄ 間,
B88997-3013,Ａ９８　Ｓ／Ｈ　Ｒ－Ｌ　デンカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 5ﾊﾟｲ SUS   間,
B8914-285-00,ＦＲＡＭＥ，，ＧＥＡＲ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 6ﾊﾟｲ 六価  間,
B8999-101-00,ＢＯＸ，，ＣＡＭ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 6ﾊﾟｲ 三価　間,
B8A291-0051,Ｂ４６　Ｓ／Ｈ　Ｌ－Ｒ　デンカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 6ﾊﾟｲ SUS   間,
B8A292-0051,Ｂ４６　Ｓ／Ｈ　Ｌ－Ｌ　デンカク,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 6ﾊﾟｲ ｻﾝｶｸﾛﾒ,
B8A96L-0090,Ａ２００　４６４　Ｓ／Ｈ　Ｌ－Ｌ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 8ﾊﾟｲ ｸﾛﾒｰﾄ 間,
B8A96R-0090,Ａ２００　４６４　Ｓ／Ｈ　Ｌ－Ｒ,ｽﾌﾟﾘﾝｸﾞﾜｯｼｬｰ 8ﾊﾟｲ ﾕﾆｸﾛ,
B8B121-1000,Ｂ４０　Ｂ　ＲＨ　Ｂ６１６,A-1 ﾏｰｸｱﾘ ROHS,
B8B122-1000,Ｂ４０　Ｂ　ＬＨ　Ｂ６１６,A-2 ACTV ROHS,
B8B77L-1000,Ｂ４０　Ｂ　ＬＨ　ＢＤ１０,A-3-1 ROHS,
B8B77R-1000,Ｂ４０　Ｂ　ＲＨ　ＢＤ１０,A-3-2 ROHS,
B8C616-1000,Ｂ４０　Ｂ　ＲＨ　ＢＣ１６,A-5-0 ROHS,
B8C617-1000,Ｂ４０　Ｂ　ＬＨ　ＢＣ１６,A-5-1 ROHS,
B8C626-1000,Ｂ４０　Ｂ　ＲＨ　ＢＫ２０,A-7 ROHS,
B8C627-1000,Ｂ４０　Ｂ　ＬＨ　ＢＫ２０,A-9-1 ROHS,
B8C636-1000,Ｂ４０　Ｂ　ＲＨ　ＢＫ２２,A-9-2 ROHS,
B8C637-1000,Ｂ４０　Ｂ　ＬＨ　ＢＫ２２,A-9-3,
B93061-0090,３８０　Ｂ　Ｒ－Ｒ　ブリリアントレッド,A-14 ﾊﾝﾄﾞﾙﾂｷ ROHS,
B93061-0091,３８０　Ｂ　Ｒ－Ｒ　レッドマイカ,A-14 ﾊﾝﾄﾞﾙ ROHS,
B93062-0090,３８０　Ｂ　Ｒ－Ｌ　ブリリアントレッド,A-16-1 ROHS,
B93062-0091,３８０　Ｂ　Ｒ－Ｌ　レッドマイカ,A-16-2 ROHS,
B9337L-0040,６６８　Ｂ　Ｒ－Ｌ　６Ａ５,A-18-1 ROHS,
B9337R-0040,６６８　Ｂ　Ｒ－Ｒ　６Ａ５,A-18-2 ROHS,
B93686-0100,Ｎ５６　Ｂ　ＲＨ　ＢＫＬ０,A-19-1-1 ROHS,
B93687-0100,Ｎ５６　Ｂ　ＬＨ　ＢＫＬ０,A-19-1-2 ROHS,
B93696-0100,Ｎ５６　Ｂ　ＲＨ　ＢＢＫ８,A-19-2-1 ROHS,
B93697-0100,Ｎ５６　Ｂ　ＬＨ　ＢＢＫ８,A-19-2-2 ROHS,
B9387L-0100,Ｎ５６　Ｂ　ＬＨ　シルバーＰ,A-20-2 ROHS,
B9387R-0100,Ｎ５６　Ｂ　ＲＨ　シルバーＰ,A-20-3 ROHS,
B9388L-0100,Ｎ５６　Ｂ　ＬＨ　ダークグリーンＰ,A-20-5 ROHS,
B9388R-0100,Ｎ５６　Ｂ　ＲＨ　ダークグリーンＰ,A-21-1 ROHS,
B9398L-0030,９６６　Ｂ　ＳＥＤ（Ｄ）　シルバーＭ,A-21-2 ROHS,
B9398R-0030,９６６　Ｂ　ＳＥＤ（Ａ）　シルバーＭ,A-21-3 ROHS,
B9406-701-00,ＢＵＳＨ，，Ａ,A-22 ROHS,
B94126-0040,６６８　Ｂ　Ｒ－Ｒ　Ｂ２７,A-23-1 ROHS,
B94127-0040,６６８　Ｂ　Ｒ－Ｌ　Ｂ２７,A-23-2 ROHS,
B94256-0081,５９７　Ｓ／Ｈ　Ｌ－Ｒ,A-26-1 ROHS,
B94257-0081,５９７　Ｓ／Ｈ　Ｌ－Ｌ,A-26-2 ROHS,
B9435L-0072,Ａ１１０　Ｍ０８　Ｓ／Ｈ　Ｒ－Ｌ,A-26-3 ROHS,
B9435R-0072,Ａ１１０　Ｍ０８　Ｓ／Ｈ　Ｒ－Ｒ,A-27-2,
B94656-0030,Ｎ８４　Ｂ　ＲＨ　ＢＫＨ３,A-27-4,
B94657-0030,Ｎ８４　Ｂ　ＬＨ　ＢＫＨ３,A-32-1 ROHS,
B94666-0030,Ｎ８４　Ｂ　ＲＨ　Ｂ３２６,A-32-2 ROHS,
B94667-0030,Ｎ８４　Ｂ　ＬＨ　Ｂ３２６,A-33-4 ROHS,
B94676-0030,Ｎ８４　Ｂ　ＲＨ　ＢＫＨ２,A-33-5 ROHS,
B94677-0030,Ｎ８４　Ｂ　ＬＨ　ＢＫＨ２,A-33-6 ROHS,
B94686-0030,Ｎ８４　Ｂ　ＲＨ　ＢＴＨ１,A-33-6 T1,
B94687-0030,Ｎ８４　Ｂ　ＬＨ　ＢＴＨ１,A-36 ROHS,
B94696-0030,Ｎ８４　Ｂ　ＲＨ　ＢＫＧ１,A-42-A-1 ROHS,
B94697-0030,Ｎ８４　Ｂ　ＬＨ　ＢＫＧ１,A-42-A-2 ROHS,
B9490F-0040,Ｅ０８　Ｓ／Ｈ　Ｌ－Ｒ,A-42-A-3 ROHS,
B9490G-0040,Ｅ０８　Ｓ／Ｈ　Ｌ－Ｌ,A-42-A-3T1,
B94986-0100,Ａ１３　Ｂ　ＲＨ　ブラック,A-42-A-15 ROHS,
B94987-0100,Ａ１３　Ｂ　ＬＨ　ブラック,A-42-A-4 ROHS,
B9500-134-00,ＦＲＡＭＥ，，ＧＥＡＲ,A-42-A-5 ROHS,
B95105512-301,シールキャップ　（Φ３２ヨウ）　　ＸＸ,A-42-A-6 ROHS,
B95105524-302,Ｋ１　キャップ　（Φ３２ヨウ）　　ＸＸ,A-42-A-7 ROHS,
B95106411-304,シールキャップ（Φ３６用）,A-43-1 ROHS,
B95106412-301,シールキャップ　Φ３６Ｎ　　　　　ＸＸ,A-45-1 ROHS,
B95106427-301,Ｋ１キャップ　Φ３６　　　　　　　ＸＸ,A-45-2 ROHS,
B95106911-311,シールキャップ（Φ４０用）　　　ＸＸ,A-51-1-1 ROHS,
B95106913-301,シールキャップ　（Φ４０ヨウ）　　ＸＸ,A-51-1-2 ROHS,
B95106928-308,Ｋ１　キャップ　（Φ４０ヨウ）　　ＸＸ,A-51-2-1 ROHS,
B95107411-303,シールキャップ（Φ４５用）　　　ＸＸ,A-51-2-2 ROHS,
B95107412-301,シールキャップ　Φ４５Ｎ　　　　　ＸＸ,A-55-1 ROHS,
B95107427-302,Ｋ１キャップ　Φ４５　　　　　　　ＸＸ,A-55-2 ROHS,
B95108112-302,シールキャップ（Φ５０用）,A-57 ROHS,
B95108127-303,Ｋ１　キャップ（Φ５０用）,A-61 ROHS,
B95108912-301,シールキャップ　Φ５５　　　　　　ＸＸ,#0061-H ROHS,
B95391-0040,６６８　Ｂ　Ｒ－Ｒ　Ｇ１８,A-66 ROHS,
B95392-0040,６６８　Ｂ　Ｒ－Ｌ　Ｇ１８,A-87-1 ROHS,
B95411-0040,６６８　Ｂ　Ｌ－Ｒ　Ｇ１８,A-87-2 ROHS,
B95412-0040,６６８　Ｂ　Ｌ－Ｌ　Ｇ１８,A-88 ROHS,
B95581-0021,４６４　Ｂ　ＲＨ,A-100-1 (L) ROHS,
B95581-0091,Ａ２００　４６４　Ｓ／Ｈ　Ｒ－Ｒ,A-100-1 (R) ROHS,
B95582-0021,４６４　Ｂ　ＬＨ,A-100-2 (L) ROHS,
B95582-0091,Ａ２００　４６４　Ｓ／Ｈ　Ｒ－Ｌ,A-100-2 (R) ROHS,
B95701-0091,４６４　Ｓ／Ｈ　Ｒ－Ｒ,A-106-1 ROHS,
B95702-0091,４６４　Ｓ／Ｈ　Ｒ－Ｌ,A-106-2 ROHS,
B96061-0040,Ｔ０１　Ｂ　Ｒ－Ｒ,A-121 ROHS,
B96061-8000,Ｔ０１　Ｂ　Ｒ－Ｒ　ＡＳＳＹ,A-124-1,
B96061-8010,Ｔ０１　Ｂ　ボルト,A-124-2,
B96061-8011,Ｔ０１　ベース　ボルト,A-131-1 ROHS,
B96062-0040,Ｔ０１　Ｂ　Ｒ－Ｌ,A-131-2 ROHS,
B96062-8000,Ｔ０１　Ｂ　Ｒ－Ｌ　ＡＳＳＹ,A-134-1 ROHS,
B96071-0040,Ｔ０１　Ｂ　Ｌ－Ｒ,A-134-2,
B96071-8000,Ｔ０１　Ｂ　Ｌ－Ｒ　ＡＳＳＹ,A-139-1,
B96072-0040,Ｔ０１　Ｂ　Ｌ－Ｌ,A-139-2 ROHS,
B96072-8000,Ｔ０１　Ｂ　Ｌ－Ｌ　ＡＳＳＹ,A-140-1-1 ACTV ROHS,
B96156-0040,６６８　Ｂ　Ｌ－Ｒ　Ｒ２４,A-140-1-1 N7 ROHS,
B96157-0040,６６８　Ｂ　Ｌ－Ｌ　Ｒ２４,A-140-1-1 7.5BG ROHS,
B96166-0040,６６８　Ｂ　Ｌ－Ｒ　Ｓ０７,A-140-1-1 5Y7/1 ROHS,
B96167-0040,６６８　Ｂ　Ｌ－Ｌ　Ｓ０７,A-140-1-2 ACTV ROHS,
B97067-0091,４６４　Ｓ／Ｈ　ＥＣ　Ｌ－Ｌ,A-140-1-2 N7 ROHS,
B9721-274-00,ＣＡＳＥ，，ＳＥＮＣＥＲ,A-140-1-2 7.5BG ROHS,
B97356-0052,Ａ９４　Ｓ／Ｈ　Ｒ－Ｒ　デンカク,A-140-2-1 N7 ROHS,
B97357-0052,Ａ９４　Ｓ／Ｈ　Ｒ－Ｌ　デンカク,A-140-2-1 7.5BG6/1.5,
B97376-0050,Ａ９４　シュカク　Ｓ／Ｈ　Ｒ－Ｒ,A-140-2-2 ROHS,
B97377-0050,Ａ９４　シュカク　Ｓ／Ｈ　Ｒ－Ｌ,A-140-2-2 N7 ROHS,
B97691-0040,６６８　Ｂ　Ｒ－Ｒ　Ｒ２２,A-140-2-2 7.5BG6/1.5,
B97692-0040,６６８　Ｂ　Ｒ－Ｌ　Ｒ２２,A-140-3-1 #0200,
B97701-0040,６６８　Ｂ　Ｒ－Ｒ　Ｓ２０,A-140-3-1 N7 ROHS,
B97702-0040,６６８　Ｂ　Ｒ－Ｌ　Ｓ２０,A-140-3-1 7.5BG6/1.5 ROHS,
B98046-3013,Ａ９８　Ｓ／Ｈ　Ｌ－Ｒ　デンカク,A-140-3-2,
B98047-3013,Ａ９８　Ｓ／Ｈ　Ｌ－Ｌ　デンカク,A-140-3-2 N7,
B98306-0040,６６８　Ｂ　Ｒ－Ｒ　Ｂ３７　　　　　　　ＸＸ,A-140-3-2 7.5BG6/1.5,
B98307-0040,６６８　Ｂ　Ｒ－Ｌ　Ｂ３７　　　　　　　ＸＸ,AP-140-0-1 N7 ROHS,
B98326-0040,６６８　Ｂ　Ｒ－Ｒ　Ｒ２７,AP-140-0-2 N7 ROHS,
B98327-0040,６６８　Ｂ　Ｒ－Ｌ　Ｒ２７,AP-140-0-2 7.5BG ROHS,
B9924-305-00,ＦＲＡＭＥ，，ＧＥＡＲ,AP-140-1-1 N7 ROHS,
B99366-0021,Ｄ０２　Ｓ／Ｈ　Ｌ－Ｌ,AP-140-1-2 N7 ROHS,
B99367-0021,Ｄ０２　Ｓ／Ｈ　Ｌ－Ｒ,AP-140-1-2 7.5BG ROHS,
B9954-678-00000,ＬＭ１６０８１Ａ，ＣＯＬＬＡＲ，，,AP-140-2-1 N7 ROHS,
B9B516-1000,Ｂ４０　Ｂ　ＲＨ　ＢＫＹ０,AP-140-2-2 N7 ROHS,
B9B517-1000,Ｂ４０　Ｂ　ＬＨ　ＢＫＹ０,AP-140-2-2 7.5BG ROHS,
B9B526-1000,Ｂ４０　Ｂ　ＲＨ　ＢＥＹ０,A-144 ROHS,
B9B527-1000,Ｂ４０　Ｂ　ＬＨ　ＢＥＹ０,A-146-1 ROHS,
BAB5X20C-D,ゼンネジボルト　５Ｘ２０　クロメート,A-148-2 ROHS,
BAB5X40C-D,ゼンネジボルト　５Ｘ４０　クロメート,A-151-1-1 ROHS,
BAB6X50C-D,ゼンネジボルト　６Ｘ５０　クロ使用禁止,A-151-1-2 ROHS,
BAB6X50C-M,ゼンネジボルト　６Ｘ５０　サンカ,A-151-2-1 ROHS,
BAB8X57C-D,ゼンネジボルト　８Ｘ５７　クロメート,A-151-2-2 ROHS,
BAB8X57C-M,ゼンネジボルト　８Ｘ５７　サンカ　　　　　間,A-154 ROHS,
BBH3X6C-M,バインド　３Ｘ６　クロメート　　　　　　　　間,A-169-H ROHS,
BBH4X8S-M,バインド　４Ｘ８　ＳＵＳ,A-172-1 R ROHS,
BBH5X10C-M,バインド　５Ｘ１０　クロメート,A-173-1 ROHS,
BBH5X12C-M,バインド　５Ｘ１２　クロメート　　　　　　　間,A-173-2 ROHS,
BBH5X16S-M,バインド　５Ｘ１６　ＳＵＳ,A-173-3 ROHS,
BDC4X25S-M,サラキャップ　ロッカクアナツキ　４Ｘ２５　ＳＵＳ,A-174-0 ROHS,
BDC4X25SN-M,サラキャップ　４Ｘ２５　ＳＵＳ　ナイロックツキ間,A-174-1 ROHS,
BDC4X35SN-M,サラキャップ　４Ｘ３５　ＳＵＳ　ナイロックツキ,A-174-2 ROHS,
BDH2.3X12S-M,サラ　２．３Ｘ１２　ＳＵＳ,A-174-3 ROHS,
BDH2.3X18S-M,サラ　２．３Ｘ１８　ＳＵＳ,A-174-4 ROHS,
